Thread,Array Size,Speedup
1,1000,1.95
1,10000,2.47
1,100000,2.56
1,1000000,2.46
1,10000000,2.40
1,100000000,2.39
1,1000000000,2.40
2,1000,1.51
2,10000,2.25
2,100000,2.49
2,1000000,2.50
2,10000000,2.40
2,100000000,2.40
2,1000000000,2.41
4,1000,1.22
4,10000,2.17
4,100000,2.48
4,1000000,2.45
4,10000000,1.95
4,100000000,1.90
4,1000000000,1.95
8,1000,1.15
8,10000,1.91
8,100000,2.37
8,1000000,2.21
8,10000000,1.64
8,100000000,1.55
8,1000000000,1.58

,1000,10000,100000,1000000,10000000,100000000,1000000000
1,1.95,2.47,2.56,2.46,2.40,2.39,2.40
2,1.51,2.25,2.49,2.50,2.40,2.40,2.41
4,1.22,2.17,2.48,2.45,1.95,1.90,1.95
8,1.15,1.91,2.37,2.21,1.64,1.55,1.58

,1,2,4,8 
1000,1.95,1.51,1.22,1.15
10000,2.47,2.25,2.17,1.91
100000,2.56,2.49,2.48,2.37
1000000,2.46,2.50,2.45,2.21
10000000,2.40,2.40,1.95,1.64
100000000,2.39,2.40,1.90,1.55
1000000000,2.40,2.41,1.95,1.58

